Designator,Mid X,Mid Y,Rotation,Layer
BTM1,77.47,-110.49,270.0,top
C1,44.3,-111.755,90.0,bottom
C10,68.58,-92.71,0.0,bottom
C11,68.58,-95.25,0.0,bottom
C12,107.01,-91.735,180.0,bottom
C13,104.47,-87.925,0.0,bottom
C14,70.191586,-97.79,0.0,bottom
C15,82.55,-113.03,180.0,bottom
C16,54.975,-85.09,180.0,bottom
C17,72.39,-107.95,0.0,bottom
C18,58.785,-88.9,180.0,bottom
C19,62.215,-109.22,0.0,bottom
C2,41.76,-111.755,90.0,bottom
C20,88.133572,-87.48,180.0,bottom
C21,90.673572,-85.435,90.0,bottom
C22,66.025,-102.87,90.0,bottom
C3,52.985,-110.69,0.0,bottom
C4,52.985,-108.15,0.0,bottom
C5,44.3,-104.38,90.0,bottom
C6,41.76,-104.34,90.0,bottom
C7,53.325,-101.6,0.0,bottom
C8,53.325,-104.14,0.0,bottom
C9,107.01,-95.085,180.0,bottom
D1,50.785,-88.9,180.0,bottom
J1,102.21,-114.21,0.0,top
J10,64.77,-88.9,90.0,top
J11,87.63,-97.79,180.0,top
J12,129.535,-93.98,270.0,top
J13,129.535,-96.52,270.0,top
J14,42.64,-96.44,90.0,top
J15,53.325,-97.79,270.0,top
J16,53.325,-95.25,270.0,top
J17,98.135,-94.275,0.0,top
J18,99.405,-87.925,180.0,top
J19,98.135,-96.815,0.0,top
J2,61.015,-114.3,0.0,top
J3,123.23,-112.57,180.0,top
J4,91.44,-104.14,90.0,top
J5,91.44,-106.68,90.0,top
J6,123.19,-88.9,0.0,top
J7,91.44,-101.6,90.0,top
J8,91.44,-114.3,0.0,top
J9,67.31,-86.36,270.0,top
L1,94.483572,-87.48,180.0,bottom
R1,72.526586,-93.98,90.0,bottom
R10,69.85,-102.425,90.0,bottom
R11,57.58,-107.0,180.0,bottom
R12,90.673572,-88.75,90.0,bottom
R13,63.485,-105.41,90.0,bottom
R14,63.485,-101.6,90.0,bottom
R15,57.135,-109.22,0.0,bottom
R2,50.34,-86.36,180.0,bottom
R3,72.39,-102.425,90.0,bottom
R4,74.93,-102.425,90.0,bottom
R5,76.7,-99.505,90.0,bottom
R6,85.09,-102.425,90.0,bottom
R7,83.82,-102.425,90.0,bottom
R8,78.74,-102.425,90.0,bottom
R9,80.01,-102.425,90.0,bottom
U1,50.125,-112.0,0.0,top
U2,50.125,-104.38,0.0,top
U3,50.895,-87.63,90.0,top
U4,77.7,-95.48,0.0,top
U5,57.135,-87.63,90.0,top
U6,105.74,-94.275,180.0,top
U7,59.655,-102.89,0.0,top
