Designator,Footprint,Quantity,Value,LCSC Part #
BTM1,BTM331,1,~,
"C1, C24, C3, C5, C7",1206,5,10uF/25V(20%),
"C10, C11",1206,2,0.1uF/25V(20%),
"C12, C13, C9",1206,3,(NC),
"C15, C20",0805,2,2.2uF,
C16,1206,1,1nF,
C17,1206,1,22UF,
C18,1206,1,220pF,
"C2, C25, C4, C6, C8",1206,5,0.1uF/50V(10%),
C21,0603,1,15pF,
C23,1206,1,1uF/16V(10%),
D1,1206,1,D,
"J1, J2",AMPHENOL_10118193-0001LF,2,10118193-0001LF,
"J10, J11, J12, J16, J18, J9",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
J14,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,
"J3, J6",AMPHENOL_F52R-1A7H1-11018,2,F52R-1A7H1-11018,
"J4, J5, J7",PinHeader_1x18_P2.54mm_Vertical,3,Conn_01x18_Pin,
J8,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U_FL-R-SMT_10_,U.FL-R-SMT(10)
L1,1206,1,15NH,
"R1, R17, R18, R20, R21, R23, R3, R4",0603,8,500,
R12,0603,1,2.2K,
R16,0603,1,10K(1%),
R2,0603,1,1K,
"U1, U2",SOT-223-3_TabPin2,2,SGM2212-3.3,
"U3, U5",SOIC127P600X175-8N,2,TJA1027T_20_118,
U4,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U6,SOP65P640X120-16N,1,SN74AHCT157PWR,
U8,ESP32-WROOM-32E,1,ESP32-WROOM-E,
